restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Super Tanker Food Centre ( Food Center),"Chinese,Asian,Malaysian","Jalan Nipah, Bayan Lepas, Penang Island 11900 Malaysia",1,4,69,5.341265,100.2963888
Lily's Vegetarian Kitchen,"Asian,Malaysian,Vegetarian Friendly","98 Lorong Madras, George Town, Penang Island 10400 Malaysia",1,4.5,88,5.4161798,100.3259118
Kafe Kheng Pin,"Asian,Malaysian","80 Jalan Penang, George Town, Penang Island 10000 Malaysia",1,4,95,5.420566,100.3328239
Miraku Restaurant,"Japanese,Sushi,Asian","G Hotel Gurney Drive, George Town, Penang Island Malaysia",2,4,110,5.4377331,100.3105747
Baa Baa Black Sheep,"Cafe,Grill,Vegetarian Friendly","8A Jalan Tanjung Bungah Penang, Malaysia, George Town, Penang Island 11200 Malaysia",2,4.5,57,5.4658405,100.2898551
Urban Spice Cafe,"Chinese,Cafe,Asian","12A Lebuh Lembah Permai 4, George Town, Penang Island 10200 Malaysia",2,,0,5.4547806,100.2904087
Thong Thai Fusion Restaurant,"Asian,Thai,Vegetarian Friendly","59 Lebuh Cintra, Penang Island 10100 Malaysia",2,5,27,5.4173865,100.3334302
Home Style Restaurant,"Chinese,Asian","2 Lebuh Lembah Permai 4 Permai 32, George Town, Penang Island 11200 Malaysia",2,4,51,5.4550997,100.2902772
Crc Chinese Restaurant Sdn Bhd,"Chinese,Asian,Cantonese","22 Pangkor Road Penang, Penang Island 10500 Malaysia",2,4.5,40,5.4254015,100.3173182
Kedai Kopi Seng Thor,"Chinese,Asian,Malaysian","160 Lebuh Carnavon St, Penang Island Malaysia",1,4,64,5.415344,100.3346815
Yong Pin Restaurant,"Chinese,Asian,Cantonese","11-C Jalan Sungai Ujong, George Town, Penang Island Malaysia",1,4,63,5.4159821,100.3322337
CREAM by ChinChin,European,"140 Jalan Pintal Tali, George Town, Penang Island 10100 Malaysia",2,4.5,27,5.415503,100.332441
Cinnamon Asian Kitchen,"International,Barbecue,Asian","PARKROYAL Penang Resort, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,31,5.4722851,100.2461974
Little Kitchen,"Asian,Nonya/Malaysian,Malaysian","179 Lebuh Noordin, George Town, Penang Island 10300 Malaysia",2,4,126,5.412961,100.328917
Deluxious Spa & Restaurant,Contemporary,"17A Jalan Sultan Ahmad Shah, George Town, Penang Island 10050 Malaysia",2,4,56,5.4232109,100.3298142
Presgrave St. Hawker Stalls (3rd Rd.),"Chinese,Asian,Malaysian","67-D Lebuh Presgrave, George Town, Penang Island 10300 Malaysia",1,4.5,58,5.4112947,100.3305568
Aki Pancake,"Fast food,Asian,Malaysian","Super Tanker Food Court, Lin Sin Garden, Penang Island Malaysia",1,4.5,36,5.3673161,100.2486493
Yun Shan Ge Vegetarian House,"Chinese,Asian,Malaysian","16, Penang Street, George Town, Penang Island Malaysia",2,4.5,35,5.4196722,100.3415554
Khuntai Restaurant Penang,"Seafood,Asian,Thai","1052 Mk 9 Pasir Belanda, Bayan Lepas, Penang Island 11920 Malaysia",2,4,71,5.2886503,100.2194725
